datum,ort,lat,lon,regen_icon,regen_era5,temperatur,bt07,bf07,bt728,bf728,et0,quelle
2026-04-28,W0001,52.05,10.1,,0.0,10.3,11.5,0.127,10.2,0.147,4.25,era5
2026-04-29,W0001,52.05,10.1,,0.0,9.2,11.1,0.115,10.5,0.147,4.17,era5
2026-04-30,W0001,52.05,10.1,,0.0,9.8,10.9,0.112,10.3,0.147,4.21,era5
2026-04-28,W0002,52.05,10.1591,,0.0,10.3,11.5,0.127,10.2,0.147,4.25,era5
2026-04-29,W0002,52.05,10.1591,,0.0,9.2,11.1,0.115,10.5,0.147,4.18,era5
2026-04-30,W0002,52.05,10.1591,,0.0,9.8,10.9,0.112,10.3,0.147,4.21,era5
2026-04-28,W0003,52.05,10.1886,,0.0,10.3,12.0,0.111,10.7,0.15,4.21,era5
2026-04-29,W0003,52.05,10.1886,,0.0,9.2,11.4,0.106,10.8,0.15,4.11,era5
2026-04-30,W0003,52.05,10.1886,,0.0,9.8,10.8,0.128,10.5,0.149,4.13,era5
2026-04-28,W0004,52.05,10.2182,,0.0,10.3,12.0,0.111,10.7,0.15,4.22,era5
2026-04-29,W0004,52.05,10.2182,,0.0,9.2,11.4,0.106,10.8,0.15,4.12,era5
2026-04-30,W0004,52.05,10.2182,,0.0,9.8,10.8,0.128,10.5,0.149,4.14,era5
2026-04-28,W0005,52.05,10.2477,,0.0,10.3,12.0,0.111,10.7,0.15,4.21,era5
2026-04-29,W0005,52.05,10.2477,,0.0,9.2,11.4,0.106,10.8,0.15,4.11,era5
2026-04-30,W0005,52.05,10.2477,,0.0,9.8,10.8,0.128,10.5,0.149,4.13,era5
2026-04-28,W0006,52.05,10.2772,,0.0,10.3,12.0,0.111,10.7,0.15,4.21,era5
2026-04-29,W0006,52.05,10.2772,,0.0,9.2,11.4,0.106,10.8,0.15,4.11,era5
2026-04-30,W0006,52.05,10.2772,,0.0,9.8,10.8,0.128,10.5,0.149,4.13,era5
2026-04-28,W0007,52.05,10.3363,,0.0,10.3,12.0,0.111,10.7,0.15,4.21,era5
2026-04-29,W0007,52.05,10.3363,,0.0,9.2,11.4,0.106,10.8,0.15,4.11,era5
2026-04-30,W0007,52.05,10.3363,,0.0,9.8,10.8,0.128,10.5,0.149,4.13,era5
2026-04-28,W0008,52.05,10.3658,,0.0,10.5,12.7,0.08,11.5,0.145,4.17,era5
2026-04-29,W0008,52.05,10.3658,,0.0,9.3,11.8,0.077,11.3,0.145,4.09,era5
2026-04-30,W0008,52.05,10.3658,,0.0,10.1,11.5,0.101,11.0,0.145,4.13,era5
2026-04-28,W0009,52.05,10.5135,,0.0,10.2,12.4,0.102,11.3,0.149,4.06,era5
2026-04-29,W0009,52.05,10.5135,,0.0,9.2,11.5,0.102,11.1,0.149,4.01,era5
2026-04-30,W0009,52.05,10.5135,,0.0,9.8,11.1,0.127,10.8,0.149,3.99,era5
2026-04-28,W0010,52.05,10.6317,,0.0,10.2,12.4,0.102,11.3,0.149,4.06,era5
2026-04-29,W0010,52.05,10.6317,,0.0,9.2,11.5,0.102,11.1,0.149,4.01,era5
2026-04-30,W0010,52.05,10.6317,,0.0,9.8,11.1,0.127,10.8,0.149,3.99,era5
2026-04-28,W0011,52.05,10.8089,,0.0,9.5,11.1,0.13,10.3,0.167,3.86,era5
2026-04-29,W0011,52.05,10.8089,,0.0,8.6,10.6,0.118,10.2,0.161,3.87,era5
2026-04-30,W0011,52.05,10.8089,,0.0,9.4,10.8,0.115,10.1,0.16,3.86,era5
2026-04-28,W0012,52.068,10.1,,0.0,10.3,11.5,0.127,10.2,0.147,4.25,era5
2026-04-29,W0012,52.068,10.1,,0.0,9.2,11.1,0.115,10.5,0.147,4.17,era5
2026-04-30,W0012,52.068,10.1,,0.0,9.8,10.9,0.112,10.3,0.147,4.21,era5
2026-04-28,W0013,52.068,10.1295,,0.0,10.3,11.5,0.127,10.2,0.147,4.24,era5
2026-04-29,W0013,52.068,10.1295,,0.0,9.2,11.1,0.115,10.5,0.147,4.17,era5
2026-04-30,W0013,52.068,10.1295,,0.0,9.8,10.9,0.112,10.3,0.147,4.21,era5
2026-04-28,W0014,52.068,10.1591,,0.0,10.3,11.5,0.127,10.2,0.147,4.24,era5
2026-04-29,W0014,52.068,10.1591,,0.0,9.2,11.1,0.115,10.5,0.147,4.17,era5
2026-04-30,W0014,52.068,10.1591,,0.0,9.8,10.9,0.112,10.3,0.147,4.21,era5
2026-04-28,W0015,52.068,10.1886,,0.0,10.3,12.0,0.111,10.7,0.15,4.21,era5
2026-04-29,W0015,52.068,10.1886,,0.0,9.2,11.4,0.106,10.8,0.15,4.11,era5
2026-04-30,W0015,52.068,10.1886,,0.0,9.8,10.8,0.128,10.5,0.149,4.13,era5
2026-04-28,W0016,52.068,10.2182,,0.0,10.3,12.0,0.111,10.7,0.15,4.22,era5
2026-04-29,W0016,52.068,10.2182,,0.0,9.2,11.4,0.106,10.8,0.15,4.12,era5
2026-04-30,W0016,52.068,10.2182,,0.0,9.8,10.8,0.128,10.5,0.149,4.14,era5
2026-04-28,W0017,52.068,10.3363,,0.0,10.3,12.0,0.111,10.7,0.15,4.21,era5
2026-04-29,W0017,52.068,10.3363,,0.0,9.2,11.4,0.106,10.8,0.15,4.11,era5
2026-04-30,W0017,52.068,10.3363,,0.0,9.8,10.8,0.128,10.5,0.149,4.14,era5
2026-04-28,W0018,52.068,10.3658,,0.0,9.8,12.0,0.08,10.9,0.145,4.07,era5
2026-04-29,W0018,52.068,10.3658,,0.0,8.7,11.1,0.077,10.6,0.145,3.99,era5
2026-04-30,W0018,52.068,10.3658,,0.0,9.4,10.8,0.101,10.3,0.145,4.03,era5
2026-04-28,W0019,52.068,10.3954,,0.0,10.5,12.7,0.08,11.5,0.145,4.17,era5
2026-04-29,W0019,52.068,10.3954,,0.0,9.3,11.8,0.077,11.3,0.145,4.09,era5
2026-04-30,W0019,52.068,10.3954,,0.0,10.1,11.5,0.101,11.0,0.145,4.12,era5
2026-04-28,W0020,52.068,10.4249,,0.0,10.5,12.7,0.08,11.5,0.145,4.17,era5
2026-04-29,W0020,52.068,10.4249,,0.0,9.3,11.8,0.077,11.3,0.145,4.09,era5
2026-04-30,W0020,52.068,10.4249,,0.0,10.1,11.5,0.101,11.0,0.145,4.12,era5
2026-04-28,W0021,52.068,10.5135,,0.0,10.2,12.4,0.102,11.3,0.149,4.06,era5
2026-04-29,W0021,52.068,10.5135,,0.0,9.2,11.5,0.102,11.1,0.149,4.02,era5
2026-04-30,W0021,52.068,10.5135,,0.0,9.8,11.1,0.127,10.8,0.149,3.99,era5
2026-04-28,W0022,52.068,10.5431,,0.0,10.2,12.4,0.102,11.3,0.149,4.06,era5
2026-04-29,W0022,52.068,10.5431,,0.0,9.2,11.5,0.102,11.1,0.149,4.01,era5
2026-04-30,W0022,52.068,10.5431,,0.0,9.8,11.1,0.127,10.8,0.149,3.99,era5
2026-04-28,W0023,52.086,10.1,,0.0,10.3,11.5,0.127,10.2,0.147,4.25,era5
2026-04-29,W0023,52.086,10.1,,0.0,9.2,11.1,0.115,10.5,0.147,4.17,era5
2026-04-30,W0023,52.086,10.1,,0.0,9.8,10.9,0.112,10.3,0.147,4.21,era5
2026-04-28,W0024,52.086,10.1295,,0.0,10.5,11.9,0.111,10.5,0.15,4.27,era5
2026-04-29,W0024,52.086,10.1295,,0.0,9.4,11.3,0.106,10.7,0.15,4.14,era5
2026-04-30,W0024,52.086,10.1295,,0.0,10.1,10.9,0.117,10.5,0.15,4.18,era5
2026-04-28,W0025,52.086,10.1886,,0.0,10.3,12.0,0.111,10.7,0.15,4.21,era5
2026-04-29,W0025,52.086,10.1886,,0.0,9.2,11.4,0.106,10.8,0.15,4.11,era5
2026-04-30,W0025,52.086,10.1886,,0.0,9.8,10.8,0.128,10.5,0.149,4.13,era5
2026-04-28,W0026,52.086,10.2182,,0.0,10.3,12.0,0.111,10.7,0.15,4.21,era5
2026-04-29,W0026,52.086,10.2182,,0.0,9.2,11.4,0.106,10.8,0.15,4.11,era5
2026-04-30,W0026,52.086,10.2182,,0.0,9.8,10.8,0.128,10.5,0.149,4.13,era5
2026-04-28,W0027,52.086,10.3363,,0.0,10.6,12.4,0.101,10.9,0.148,4.3,era5
2026-04-29,W0027,52.086,10.3363,,0.0,9.6,11.8,0.098,11.1,0.148,4.16,era5
2026-04-30,W0027,52.086,10.3363,,0.0,10.3,11.4,0.112,10.9,0.148,4.19,era5
2026-04-28,W0028,52.086,10.3658,,0.0,9.8,12.1,0.08,10.9,0.145,4.07,era5
2026-04-29,W0028,52.086,10.3658,,0.0,8.7,11.1,0.077,10.7,0.145,3.99,era5
