datum,ort,lat,lon,regen_icon,regen_era5,temperatur,bt07,bf07,bt728,bf728,et0,quelle
2026-05-01,W0001,52.05,10.1,,0.0,13.7,13.6,0.109,11.2,0.147,4.46,era5
2026-05-02,W0001,52.05,10.1,,0.0,18.4,16.9,0.11,13.5,0.147,5.53,era5
2026-05-03,W0001,52.05,10.1,,0.0,18.6,17.8,0.111,15.2,0.147,5.21,era5
2026-05-04,W0001,52.05,10.1,,2.6,17.1,18.5,0.11,16.1,0.147,3.94,era5
2026-05-05,W0001,52.05,10.1,,6.2,14.4,15.2,0.159,15.5,0.147,2.22,era5
2026-05-06,W0001,52.05,10.1,,30.6,10.0,11.2,0.358,13.0,0.169,0.67,era5
2026-05-07,W0001,52.05,10.1,,6.8,7.9,8.9,0.371,10.3,0.22,0.7,era5
2026-05-08,W0001,52.05,10.1,,0.0,8.8,9.0,0.325,9.0,0.241,1.85,era5
2026-05-09,W0001,52.05,10.1,,0.7,11.0,10.9,0.294,10.0,0.244,2.28,era5
2026-05-10,W0001,52.05,10.1,,0.2,12.5,12.2,0.263,10.9,0.24,3.38,era5
2026-05-11,W0001,52.05,10.1,,9.8,7.6,9.4,0.299,10.9,0.232,0.88,era5
2026-05-12,W0001,52.05,10.1,,6.0,5.7,6.8,0.363,8.0,0.293,1.35,era5
2026-05-13,W0001,52.05,10.1,,9.9,8.0,8.6,0.355,8.3,0.312,2.29,era5
2026-05-14,W0001,52.05,10.1,,6.8,7.1,8.0,0.372,8.4,0.317,1.87,era5
2026-05-15,W0001,52.05,10.1,,1.0,7.6,8.2,0.352,8.1,0.319,2.77,era5
2026-05-16,W0001,52.05,10.1,,0.5,8.0,8.8,0.303,8.6,0.309,2.96,era5
2026-05-17,W0001,52.05,10.1,,0.0,10.2,9.7,0.251,8.9,0.296,3.05,era5
2026-05-18,W0001,52.05,10.1,,2.6,12.1,11.7,0.225,10.7,0.271,3.19,era5
2026-05-19,W0001,52.05,10.1,,0.7,11.9,12.0,0.244,11.2,0.257,3.46,era5
2026-05-20,W0001,52.05,10.1,,11.7,13.5,13.5,0.252,12.4,0.247,2.56,era5
2026-05-21,W0001,52.05,10.1,,0.8,14.8,14.4,0.246,13.2,0.234,3.13,era5
2026-05-22,W0001,52.05,10.1,,0.0,17.2,16.4,0.219,14.1,0.227,4.51,era5
2026-05-23,W0001,52.05,10.1,,0.0,20.3,18.7,0.166,15.7,0.205,5.12,era5
2026-05-24,W0001,52.05,10.1,,0.0,19.8,19.8,0.152,17.2,0.199,5.09,era5
2026-05-25,W0001,52.05,10.1,,0.0,18.8,19.2,0.129,17.3,0.185,5.3,era5
2026-05-26,W0001,52.05,10.1,,0.0,21.9,21.4,0.107,18.0,0.168,5.81,era5
2026-05-27,W0001,52.05,10.1,,0.0,18.2,20.8,0.093,19.0,0.156,5.66,era5
2026-05-28,W0001,52.05,10.1,,0.0,14.9,18.1,0.086,17.5,0.152,5.1,era5
2026-05-29,W0001,52.05,10.1,,6.7,18.9,19.0,0.126,16.8,0.147,5.58,era5
2026-05-30,W0001,52.05,10.1,,0.0,18.7,19.9,0.168,18.3,0.147,4.77,era5
2026-05-31,W0001,52.05,10.1,,8.8,16.8,17.3,0.198,17.4,0.148,2.79,era5
2026-05-01,W0002,52.05,10.1591,,0.0,13.7,13.6,0.109,11.2,0.147,4.47,era5
2026-05-02,W0002,52.05,10.1591,,0.0,18.4,16.9,0.11,13.5,0.147,5.53,era5
2026-05-03,W0002,52.05,10.1591,,0.0,18.6,17.8,0.111,15.2,0.147,5.21,era5
2026-05-04,W0002,52.05,10.1591,,2.6,17.1,18.5,0.11,16.1,0.147,3.94,era5
2026-05-05,W0002,52.05,10.1591,,6.2,14.4,15.2,0.159,15.5,0.147,2.22,era5
2026-05-06,W0002,52.05,10.1591,,30.6,10.0,11.2,0.358,13.0,0.169,0.68,era5
2026-05-07,W0002,52.05,10.1591,,6.8,7.9,8.9,0.371,10.3,0.22,0.7,era5
2026-05-08,W0002,52.05,10.1591,,0.0,8.8,9.0,0.325,9.0,0.241,1.85,era5
2026-05-09,W0002,52.05,10.1591,,0.7,11.0,10.9,0.294,10.0,0.244,2.28,era5
2026-05-10,W0002,52.05,10.1591,,0.2,12.5,12.2,0.263,10.9,0.24,3.38,era5
2026-05-11,W0002,52.05,10.1591,,9.8,7.6,9.4,0.299,10.9,0.232,0.89,era5
2026-05-12,W0002,52.05,10.1591,,6.0,5.7,6.8,0.363,8.0,0.293,1.35,era5
2026-05-13,W0002,52.05,10.1591,,9.9,8.0,8.6,0.355,8.3,0.312,2.3,era5
2026-05-14,W0002,52.05,10.1591,,6.8,7.1,8.0,0.372,8.4,0.317,1.87,era5
2026-05-15,W0002,52.05,10.1591,,1.0,7.6,8.2,0.352,8.1,0.319,2.78,era5
2026-05-16,W0002,52.05,10.1591,,0.5,8.0,8.8,0.303,8.6,0.309,2.97,era5
2026-05-17,W0002,52.05,10.1591,,0.0,10.2,9.7,0.251,8.9,0.296,3.05,era5
2026-05-18,W0002,52.05,10.1591,,2.6,12.1,11.7,0.225,10.7,0.271,3.2,era5
2026-05-19,W0002,52.05,10.1591,,0.7,11.9,12.0,0.244,11.2,0.257,3.47,era5
2026-05-20,W0002,52.05,10.1591,,11.7,13.5,13.5,0.252,12.4,0.247,2.56,era5
2026-05-21,W0002,52.05,10.1591,,0.8,14.8,14.4,0.246,13.2,0.234,3.13,era5
2026-05-22,W0002,52.05,10.1591,,0.0,17.2,16.4,0.219,14.1,0.227,4.52,era5
2026-05-23,W0002,52.05,10.1591,,0.0,20.3,18.7,0.166,15.7,0.205,5.13,era5
2026-05-24,W0002,52.05,10.1591,,0.0,19.8,19.8,0.152,17.2,0.199,5.09,era5
2026-05-25,W0002,52.05,10.1591,,0.0,18.8,19.2,0.129,17.3,0.185,5.3,era5
2026-05-26,W0002,52.05,10.1591,,0.0,21.9,21.4,0.107,18.0,0.168,5.81,era5
2026-05-27,W0002,52.05,10.1591,,0.0,18.2,20.8,0.093,19.0,0.156,5.67,era5
2026-05-28,W0002,52.05,10.1591,,0.0,14.9,18.1,0.086,17.5,0.152,5.11,era5
2026-05-29,W0002,52.05,10.1591,,6.7,18.9,19.0,0.126,16.8,0.147,5.58,era5
2026-05-30,W0002,52.05,10.1591,,0.0,18.7,19.9,0.168,18.3,0.147,4.77,era5
2026-05-31,W0002,52.05,10.1591,,8.8,16.8,17.3,0.198,17.4,0.148,2.79,era5
2026-05-01,W0003,52.05,10.1886,,0.0,14.1,13.5,0.116,11.3,0.149,4.56,era5
2026-05-02,W0003,52.05,10.1886,,0.0,18.3,16.5,0.106,13.3,0.149,5.64,era5
2026-05-03,W0003,52.05,10.1886,,0.0,18.9,17.7,0.128,15.3,0.149,5.09,era5
2026-05-04,W0003,52.05,10.1886,,1.6,17.2,18.3,0.121,16.0,0.149,3.97,era5
2026-05-05,W0003,52.05,10.1886,,4.6,14.6,15.6,0.167,15.5,0.149,2.34,era5
2026-05-06,W0003,52.05,10.1886,,29.5,10.3,11.5,0.35,13.2,0.167,0.7,era5
2026-05-07,W0003,52.05,10.1886,,6.6,8.1,9.1,0.37,10.5,0.212,0.75,era5
2026-05-08,W0003,52.05,10.1886,,0.0,9.0,9.1,0.325,9.1,0.234,1.97,era5
2026-05-09,W0003,52.05,10.1886,,0.1,11.2,11.1,0.288,10.1,0.236,2.26,era5
2026-05-10,W0003,52.05,10.1886,,0.2,12.8,12.4,0.257,11.0,0.232,3.42,era5
2026-05-11,W0003,52.05,10.1886,,10.6,8.0,9.6,0.289,11.1,0.219,0.88,era5
2026-05-12,W0003,52.05,10.1886,,7.1,5.8,6.9,0.359,8.2,0.276,1.23,era5
2026-05-13,W0003,52.05,10.1886,,8.4,8.2,8.6,0.353,8.2,0.303,2.29,era5
2026-05-14,W0003,52.05,10.1886,,11.4,7.2,8.0,0.375,8.4,0.308,1.78,era5
2026-05-15,W0003,52.05,10.1886,,1.8,7.8,8.4,0.351,8.2,0.307,2.62,era5
2026-05-16,W0003,52.05,10.1886,,0.4,8.2,9.0,0.295,8.7,0.295,3.01,era5
2026-05-17,W0003,52.05,10.1886,,0.0,10.6,10.1,0.258,9.2,0.284,3.31,era5
2026-05-18,W0003,52.05,10.1886,,1.3,12.5,12.2,0.205,10.8,0.259,3.4,era5
2026-05-19,W0003,52.05,10.1886,,0.6,12.4,12.6,0.179,11.4,0.243,3.64,era5
2026-05-20,W0003,52.05,10.1886,,7.8,13.9,14.0,0.173,12.6,0.235,2.74,era5
2026-05-21,W0003,52.05,10.1886,,0.6,15.1,14.8,0.174,13.3,0.222,3.22,era5
2026-05-22,W0003,52.05,10.1886,,0.0,17.7,17.0,0.164,14.3,0.213,4.57,era5
2026-05-23,W0003,52.05,10.1886,,0.0,20.5,19.4,0.137,16.1,0.198,5.21,era5
2026-05-24,W0003,52.05,10.1886,,0.0,20.6,20.9,0.121,17.7,0.185,5.37,era5
2026-05-25,W0003,52.05,10.1886,,0.0,19.3,20.4,0.107,18.0,0.171,5.38,era5
2026-05-26,W0003,52.05,10.1886,,0.0,22.4,22.5,0.094,18.9,0.159,5.92,era5
2026-05-27,W0003,52.05,10.1886,,0.0,18.6,21.5,0.089,19.6,0.154,5.78,era5
2026-05-28,W0003,52.05,10.1886,,0.0,15.2,18.7,0.083,18.0,0.151,5.11,era5
2026-05-29,W0003,52.05,10.1886,,7.5,19.4,19.7,0.126,17.4,0.149,5.68,era5
2026-05-30,W0003,52.05,10.1886,,0.1,18.9,20.2,0.165,18.8,0.149,4.78,era5
2026-05-31,W0003,52.05,10.1886,,11.7,17.1,17.6,0.196,17.8,0.149,2.84,era5
